"Id","activity_date","total_steps","total_distance","calories","very_active_min","fairly_active_min","lightly_active_min","sedentary_min","total_minutes","pct_intense_activity"
1503960366,"3/25/2016",11004,7.1100001335144,1819,33,12,205,804,1054,18.0
1503960366,"3/26/2016",17609,11.5500001907349,2154,89,17,274,588,968,27.9
1503960366,"3/27/2016",12736,8.52999973297119,1944,56,5,268,605,934,18.5
1503960366,"3/28/2016",13231,8.93000030517578,1932,39,20,224,1080,1363,20.8
1503960366,"3/29/2016",12041,7.84999990463257,1886,28,28,243,763,1062,18.7
1503960366,"3/30/2016",10970,7.15999984741211,1820,30,13,223,1174,1440,16.2
1503960366,"3/31/2016",12256,7.8600001335144,1889,33,12,239,820,1104,15.8
1503960366,"4/1/2016",12262,7.86999988555908,1868,47,21,200,866,1134,25.4
1503960366,"4/10/2016",10057,6.98000001907349,1755,44,13,168,737,962,25.3
1503960366,"4/11/2016",10990,7.26000022888184,1811,26,14,216,855,1111,15.6
1503960366,"4/12/2016",13162,8.5,1985,25,13,328,728,1094,10.4
1503960366,"4/13/2016",10735,6.96999979019165,1797,21,19,217,776,1033,15.6
1503960366,"4/14/2016",10460,6.73999977111816,1776,30,11,181,1218,1440,18.5
1503960366,"4/15/2016",9762,6.28000020980835,1745,29,34,209,726,998,23.2
1503960366,"4/16/2016",12669,8.15999984741211,1863,36,10,221,773,1040,17.2
1503960366,"4/17/2016",9705,6.48000001907349,1728,38,20,164,539,761,26.1
1503960366,"4/18/2016",13019,8.59000015258789,1921,42,16,233,1149,1440,19.9
1503960366,"4/19/2016",15506,9.88000011444092,2035,50,31,264,775,1120,23.5
1503960366,"4/2/2016",11248,7.25,1843,40,11,244,636,931,17.3
1503960366,"4/20/2016",10544,6.67999982833862,1786,28,12,205,818,1063,16.3
1503960366,"4/21/2016",9819,6.34000015258789,1775,19,8,211,838,1076,11.3
1503960366,"4/22/2016",12764,8.13000011444092,1827,66,27,130,1217,1440,41.7
1503960366,"4/23/2016",14371,9.03999996185303,1949,41,21,262,732,1056,19.1
1503960366,"4/24/2016",10039,6.40999984741211,1788,39,5,238,709,991,15.6
1503960366,"4/25/2016",15355,9.80000019073486,2013,73,14,216,814,1117,28.7
1503960366,"4/26/2016",13755,8.78999996185303,1970,31,23,279,833,1166,16.2
1503960366,"4/27/2016",18134,12.210000038147,2159,78,11,243,1108,1440,26.8
1503960366,"4/28/2016",13154,8.52999973297119,1898,48,28,189,782,1047,28.7
1503960366,"4/29/2016",11181,7.15000009536743,1837,16,12,243,815,1086,10.3
1503960366,"4/3/2016",10016,6.36999988555908,1850,15,30,314,655,1014,12.5
1503960366,"4/30/2016",14673,9.25,1947,52,34,217,712,1015,28.4
1503960366,"4/4/2016",14557,9.80000019073486,2030,43,18,285,757,1103,17.6
1503960366,"4/5/2016",14844,9.72999954223633,2083,36,18,341,736,1131,13.7
1503960366,"4/6/2016",11974,7.67000007629395,1861,27,12,228,1173,1440,14.6
1503960366,"4/7/2016",10198,6.44000005722046,1755,17,20,195,1208,1440,15.9
1503960366,"4/8/2016",12521,7.94000005722046,1895,46,22,212,1160,1440,24.3
1503960366,"4/9/2016",12432,8.10000038146973,1883,32,15,248,738,1033,15.9
1503960366,"5/1/2016",10602,6.80999994277954,1820,33,35,246,730,1044,21.7
1503960366,"5/10/2016",12207,7.76999998092651,1859,46,31,214,746,1037,26.5
1503960366,"5/11/2016",12770,8.13000011444092,1783,36,23,251,669,979,19.0
1503960366,"5/2/2016",14727,9.71000003814697,2004,41,15,277,798,1131,16.8
1503960366,"5/3/2016",15103,9.65999984741211,1990,50,24,254,816,1144,22.6
1503960366,"5/4/2016",11100,7.15000009536743,1819,36,22,203,1179,1440,22.2
1503960366,"5/5/2016",14070,8.89999961853027,1959,45,24,250,857,1176,21.6
1503960366,"5/6/2016",12159,8.02999973297119,1896,24,6,289,754,1073,9.4
1503960366,"5/7/2016",11992,7.71000003814697,1821,37,46,175,833,1091,32.2
1503960366,"5/8/2016",10060,6.57999992370605,1740,44,8,203,574,829,20.4
1503960366,"5/9/2016",12022,7.71999979019165,1819,46,11,206,835,1098,21.7
1624580081,"3/25/2016",1810,1.17999994754791,1373,0,0,121,1319,1440,0.0
1624580081,"3/26/2016",815,0.529999971389771,1264,0,0,47,1393,1440,0.0
1624580081,"3/27/2016",1985,1.28999996185303,1350,0,0,112,1328,1440,0.0
1624580081,"3/28/2016",1905,1.24000000953674,1342,0,0,95,1345,1440,0.0
1624580081,"3/29/2016",1552,1.00999999046326,1300,0,0,66,1374,1440,0.0
1624580081,"3/30/2016",1675,1.0900000333786,1313,0,0,84,1356,1440,0.0
1624580081,"3/31/2016",4506,2.9300000667572,1498,7,4,144,1285,1440,7.1
1624580081,"4/1/2016",9218,5.98999977111816,1541,0,0,221,1219,1440,0.0
1624580081,"4/10/2016",3910,2.53999996185303,1555,7,7,186,1240,1440,7.0
1624580081,"4/11/2016",10000,6.5,1469,0,0,172,1268,1440,0.0
