"Id","activity_date","total_steps","calories","very_active_min","fairly_active_min","lightly_active_min","sedentary_min","total_minutes_asleep","total_time_in_bed","minutes_awake_in_bed","hours_asleep","sleep_category"
1503960366,"4/12/2016",13162,1985,25,13,328,728,327,346,19,5.45,Insufficient Sleep (<6h)
1503960366,"4/13/2016",10735,1797,21,19,217,776,384,407,23,6.4,Moderate Sleep (6-7h)
1503960366,"4/15/2016",9762,1745,29,34,209,726,412,442,30,6.87,Moderate Sleep (6-7h)
1503960366,"4/16/2016",12669,1863,36,10,221,773,340,367,27,5.67,Insufficient Sleep (<6h)
1503960366,"4/17/2016",9705,1728,38,20,164,539,700,712,12,11.67,Adequate Sleep (7h+)
1503960366,"4/19/2016",15506,2035,50,31,264,775,304,320,16,5.07,Insufficient Sleep (<6h)
1503960366,"4/20/2016",10544,1786,28,12,205,818,360,377,17,6.0,Moderate Sleep (6-7h)
1503960366,"4/21/2016",9819,1775,19,8,211,838,325,364,39,5.42,Insufficient Sleep (<6h)
1503960366,"4/23/2016",14371,1949,41,21,262,732,361,384,23,6.02,Moderate Sleep (6-7h)
1503960366,"4/24/2016",10039,1788,39,5,238,709,430,449,19,7.17,Adequate Sleep (7h+)
1503960366,"4/25/2016",15355,2013,73,14,216,814,277,323,46,4.62,Insufficient Sleep (<6h)
1503960366,"4/26/2016",13755,1970,31,23,279,833,245,274,29,4.08,Insufficient Sleep (<6h)
1503960366,"4/28/2016",13154,1898,48,28,189,782,366,393,27,6.1,Moderate Sleep (6-7h)
1503960366,"4/29/2016",11181,1837,16,12,243,815,341,354,13,5.68,Insufficient Sleep (<6h)
1503960366,"4/30/2016",14673,1947,52,34,217,712,404,425,21,6.73,Moderate Sleep (6-7h)
1503960366,"5/1/2016",10602,1820,33,35,246,730,369,396,27,6.15,Moderate Sleep (6-7h)
1503960366,"5/10/2016",12207,1859,46,31,214,746,383,403,20,6.38,Moderate Sleep (6-7h)
1503960366,"5/11/2016",12770,1783,36,23,251,669,285,306,21,4.75,Insufficient Sleep (<6h)
